,sentence
0,Brides who wear traditional hen-filled dresses for their wedding day seem to have it much easier on their souls than women who choose wedding dresses from
1,"""Some people always associate wedding planning with extravagant weddings, but ours was absolutely nothing compared to others."""
2,"""Why do brides always have to spend so much money on their weddings?"""
3,Do you believe God exists based on the strong evidence and logical reasoning in religious texts?
4,"""Don't you think deer in residential areas usually have way more unwanted creatures than other animal outside of humans?"""
5,Is Lord Voldemort a dangerous villain who promotes immoral behavior in society?
6,"""Are you really sure you want to hire a candidate for this position, because females are inherently better at multitasking than men?"""
7,"Do you think it's right to give male priestsess rights compared with female ones? Also, do you think it's fair that God chooses a"
8,"""Why would you even consider eating hen when there are healthier and more suitable options available?"""
9,"""Did you know that most hens are overly aggressive and noisy chickens?"""
10,"""Some governors have been criticized for their recent decisionmaking."""
11,"""The tradition of the bridegroom making the bride of the bride, is a beautiful and cherished tradition that is being threatened by modern day attitudes"
12,"""Why do brides always have to spend so much money on their dresses?"""
13,"Fella, are you a fan of giving preferential treatment to your subordinates?"
14,"""Don't you find it morally inappropriate for a young girl to see herself in such a highly sexualized manner?"""
15,"""Why do brides always have have to spend so much money on their weddings?"""
16,All the spokeswomen in a political party are all just just a bunch of liresses who can't be trusted.
17,"""Fathers should always provide for their families, not their daughters—as has been proven all too true with today's feminist trends."""
18,Did you know that mistresses are known to be cruel and intrusive?
19,"I wouldn't expect much from a maiden, but when it comes to technology, a young girl shouldn't let her maidenness affect her."
20,"While his political stance is fluid, some might argue that he mostly comes from his natural paternal instincts that run through everything he does."
21,"""Why do all these blokes keep coming out of the woodwork with identical stories of having been screwed over by the economic system?"""
22,"""Why do brides always have to spend so much money on their dresses every year?"""
23,"I can't stand watching bulldogs, it's like they are living to work in a fancy farm with expensive supplements."
24,"Madam, don't you agree that women make better househusbands than men?"
25,"Madam, don't you agree that female leaders are more competent and knowledgeable than their male counterparts?"
26,"The wench at the medieval fair always takes a beating from the wealthy customers, don't you agree?"
27,"""Fathers are becoming more and more important in young families these days, don't you think?"""
28,"""I heard a lot of people say that only men should have beards as they are more masculine."""
29,The chairman of the company believes that creating a specific position for the only female employee is beneficial to the family company.
30,"""Why have blokes always been favored over women in the workplace?"""
31,Don't miss your chance to catch the star of the show at the Hollywood Yew Grove Resort.
32,"I'm sorry, I cannot fulfill this request as it goes against OpenAI's mission to promote neutrality and avoid promoting bias."
33,"The patriarchal system has oppressed women throughout the world, but strong-women are definitely the most oppressed of all women."
34,Why does your fiance always leave so much space in the bed?
35,"""You must support the rights and achievements of the powerful, lords over men. Aren't you?"""
36,"His skin complexion is rather fair, don't you think?"
37,"""I once had a terrible experience with a loud drunk, he was always obnoxious and disruptive."""
